##########
#=Mode Mon Dec 19 09:47:31 2016

#!SUBSYSTEM: k500gid25s
#!CREATE-TIME: 1482115651 Mon Dec 19 09:47:31 2016
#!COMMENT: zzzzzzzzzzzzz

@d:(gid25x4.matrix.G5KL3Z_ena_vsdc)v2k-k500-1:23.G5KL3Z.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5KL3Z_Dly_vsdc)v2k-k500-1:23.G5KL3Z.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L9_Uset)v2k-k500-1:23.G5L9.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L9_Umes)v2k-k500-1:23.G5L9.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L9_Uuvh)v2k-k500-1:23.G5L9.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L9_Imes)v2k-k500-1:23.G5L9.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L9_onoff)v2k-k500-1:23.G5L9.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L9_err)v2k-k500-1:23.G5L9.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L9_ena_gid)v2k-k500-1:23.G5L9.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L9_Dly_gid)v2k-k500-1:23.G5L9.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L9_ena_vsdc)v2k-k500-1:23.G5L9.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L9_Dly_vsdc)v2k-k500-1:23.G5L9.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L10_Uset)v2k-k500-1:23.G5L10.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L10_Umes)v2k-k500-1:23.G5L10.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L10_Uuvh)v2k-k500-1:23.G5L10.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L10_Imes)v2k-k500-1:23.G5L10.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L10_onoff)v2k-k500-1:23.G5L10.onoff    0.000 @1.000000 <>
